Protein,Test_Methods,Test_Statistics,P_Value,Fold_Change,Adjusted_P_Value,log2_Fold_Change,Neg_log10_Adjusted_P_Value
sp|P01303|NPY_HUMAN,wilcoxon_signed_rank,5.0,7.450580596923828e-08,0.05187503273825603,9.932037856843735e-06,-4.2688158479448175,5.002961633762358
sp|P02533|K1C14_HUMAN,wilcoxon_signed_rank,53.0,0.0003059804439544678,0.40790780527363024,0.0022556069900729506,-1.2936849816725355,2.6467365682132256
sp|P04843|RPN1_HUMAN,wilcoxon_signed_rank,41.0,7.204711437225342e-05,0.48192682932686026,0.0007985083184121112,-1.0531139753629428,3.0977205552654348
sp|P05023|AT1A1_HUMAN,wilcoxon_signed_rank,4.0,5.21540641784668e-08,0.46590649547711116,8.07378561266007e-06,-1.101887650838732,5.092922786815087
sp|P05230|FGF1_HUMAN,wilcoxon_signed_rank,49.0,0.00019368529319763184,0.28839117096357225,0.001605346670216641,-1.793901097444715,2.7944311684274736
sp|P05783|K1C18_HUMAN,wilcoxon_signed_rank,3.0,3.725290298461914e-08,0.08370470495170085,7.449028392632803e-06,-3.5785474723788537,5.127900370370658
sp|P05787|K2C8_HUMAN,wilcoxon_signed_rank,5.0,7.450580596923828e-08,0.07401133591162204,9.932037856843735e-06,-3.7561099323983997,5.002961633762358
sp|P07101|TY3H_HUMAN,wilcoxon_signed_rank,20.0,2.7641654014587402e-06,0.4156037923289064,9.612485334493111e-05,-1.2667192761862753,4.017164309781261
sp|P07358|CO8B_HUMAN,wilcoxon_signed_rank,48.0,0.0001721307635307312,0.42236378279046444,0.001472469757903706,-1.2434419643309893,2.831953616140464
sp|P07910|HNRPC_HUMAN,wilcoxon_signed_rank,47.0,0.00015273690223693848,0.3809130304318119,0.0013473977827850511,-1.3924664538282963,2.8705041716374966
sp|P07942|LAMB1_HUMAN,wilcoxon_signed_rank,22.0,3.993511199951172e-06,0.4968588413734899,0.00012206917355774314,-1.0090920575389073,3.9133939957115347
sp|P08138|TNR16_HUMAN,wilcoxon_signed_rank,20.0,2.7641654014587402e-06,0.28597615394152964,9.612485334493111e-05,-1.8060332416759572,4.017164309781261
sp|P08708|RS17_HUMAN,wilcoxon_signed_rank,36.0,3.663450479507446e-05,0.387867140964046,0.0004966355607671253,-1.366365534991736,3.303962186730697
sp|P08727|K1C19_HUMAN,wilcoxon_signed_rank,5.0,7.450580596923828e-08,0.05549258018564284,9.932037856843735e-06,-4.17156130560905,5.002961633762358
sp|P08729|K2C7_HUMAN,wilcoxon_signed_rank,15.0,1.0207295417785645e-06,0.27271931792424464,5.2111500755269474e-05,-1.8745111984977318,4.283066419438363
sp|P10620|MGST1_HUMAN,wilcoxon_signed_rank,72.0,0.0020434409379959106,0.4781276408784087,0.009493197542538603,-1.064532283626529,2.022587481863125
sp|P10643|CO7_HUMAN,wilcoxon_signed_rank,22.0,3.993511199951172e-06,0.43783181194216814,0.00012206917355774314,-1.1915513133610756,3.9133939957115347
sp|P12429|ANXA3_HUMAN,wilcoxon_signed_rank,37.0,4.2110681533813477e-05,0.40997604611272126,0.0005476671021159102,-1.2863884758004,3.2614833459776102
sp|P12532|KCRU_HUMAN,wilcoxon_signed_rank,28.0,1.1049211025238037e-05,0.3212341802437837,0.0002335910295599883,-1.6383026869491393,3.6315438391598116
sp|P13646|K1C13_HUMAN,wilcoxon_signed_rank,6.0,1.043081283569336e-07,0.12473744685469974,1.1123882399664986e-05,-3.0030334598596857,4.953743611092176
sp|P13928|ANXA8_HUMAN,wilcoxon_signed_rank,0.0,7.450580596923828e-09,0.1781741529726912,3.575533628463745e-06,-2.4886400289742245,5.446659132995071
sp|P15311|EZRI_HUMAN,wilcoxon_signed_rank,7.0,1.4156103134155273e-07,0.4802951807784479,1.3587027788162232e-05,-1.0580067620603502,4.86687553637826
sp|P15880|RS2_HUMAN,wilcoxon_signed_rank,31.0,1.765042543411255e-05,0.2939522602154193,0.00030469205632484216,-1.7663462239854393,3.516138868190382
sp|P16870|CBPE_HUMAN,wilcoxon_signed_rank,11.0,4.0978193283081055e-07,0.39619661830688724,2.9351395457538207e-05,-1.3357115285739067,4.532371246201653
sp|P17302|CXA1_HUMAN,wilcoxon_signed_rank,21.0,3.330409526824951e-06,0.06591881690406554,0.00011099052305022875,-3.9231658401837284,3.954714101958384
sp|P17661|DESM_HUMAN,wilcoxon_signed_rank,26.0,7.964670658111572e-06,0.465196851774373,0.00019501252289937467,-1.1040867615002818,3.709937499142769
sp|P18031|PTN1_HUMAN,wilcoxon_signed_rank,19.0,2.2873282432556152e-06,0.2737790574317863,8.711816063002935e-05,-1.8689160021807647,4.059891302635447
sp|P18077|RL35A_HUMAN,wilcoxon_signed_rank,59.0,0.0005833879113197327,0.35721113595777954,0.003674118879820731,-1.4851510381106503,2.4348467957670388
sp|P18124|RL7_HUMAN,wilcoxon_signed_rank,61.0,0.0007162094116210938,0.39553358404963845,0.0042696757346206565,-1.3381278983312896,2.3696051067109027
sp|P18621|RL17_HUMAN,wilcoxon_signed_rank,59.0,0.0005833879113197327,0.38777125712005417,0.003674118879820731,-1.366722224777272,2.4348467957670388
sp|P19012|K1C15_HUMAN,wilcoxon_signed_rank,4.0,5.21540641784668e-08,0.0969785737627536,8.07378561266007e-06,-3.366190153204154,5.092922786815087
sp|P20648|ATP4A_HUMAN,wilcoxon_signed_rank,13.0,6.556510925292969e-07,0.36851404224389317,3.982872902592526e-05,-1.4402085005611995,4.399803552135344
sp|P21246|PTN_HUMAN,wilcoxon_signed_rank,1.0,1.4901161193847656e-08,0.17486202389304897,5.5008209668673e-06,-2.515711092592322,5.259572489637926
sp|P21980|TGM2_HUMAN,wilcoxon_signed_rank,16.0,1.259148120880127e-06,0.4028522434696724,5.982823596142306e-05,-1.3116773050203858,4.22309380216404
sp|P22090|RS4Y1_HUMAN,wilcoxon_signed_rank,45.0,0.00011970102787017822,0.32454609679752733,0.0011375153123742284,-1.6235046893961997,2.9440427484863463
sp|P23396|RS3_HUMAN,wilcoxon_signed_rank,46.0,0.0001353248953819275,0.36922654464680227,0.0012393591086600573,-1.4374218191147319,2.9068028370359924
sp|P26373|RL13_HUMAN,wilcoxon_signed_rank,63.0,0.0008751451969146729,0.4728366691693488,0.004981995017785902,-1.0805861719408891,2.302596711112875
sp|P27487|DPP4_HUMAN,wilcoxon_signed_rank,17.0,1.5422701835632324e-06,0.4057824252449976,7.048909153257097e-05,-1.3012217126931147,4.151878086608091
sp|P27635|RL10_HUMAN,wilcoxon_signed_rank,42.0,8.20159912109375e-05,0.3278727046195487,0.0008707848270382502,-1.608792292421764,3.060089146915017
sp|P27695|APEX1_HUMAN,wilcoxon_signed_rank,42.0,8.20159912109375e-05,0.48217538628462,0.0008707848270382502,-1.0523700876454858,3.060089146915017
sp|P32969|RL9_HUMAN,wilcoxon_signed_rank,54.0,0.0003418475389480591,0.47929523092276,0.002437632005069444,-1.0610135099447031,2.613031856646474
sp|P36578|RL4_HUMAN,wilcoxon_signed_rank,57.0,0.0004729032516479492,0.40472348328148544,0.0031740737128091025,-1.3049915339184823,2.4983829916660762
sp|P37108|SRP14_HUMAN,wilcoxon_signed_rank,30.0,1.5139579772949219e-05,0.4741058471252465,0.0002783710472428479,-1.0767189090228466,3.5553759367214703
sp|P39019|RS19_HUMAN,wilcoxon_signed_rank,43.0,9.319186210632324e-05,0.4866152544052323,0.0009576611268699042,-1.0391465483269426,3.0187881409902872
sp|P39023|RL3_HUMAN,wilcoxon_signed_rank,55.0,0.0003814026713371277,0.4091235585937013,0.0026798703070964507,-1.2893914804486888,2.5718862232380992
sp|P39656|OST48_HUMAN,wilcoxon_signed_rank,15.0,1.0207295417785645e-06,0.469159445742382,5.2111500755269474e-05,-1.0918497830447638,4.283066419438363
sp|P40429|RL13A_HUMAN,wilcoxon_signed_rank,51.0,0.000244140625,0.31848469769791327,0.0019113064590130506,-1.6507040382164138,2.718669672553768
sp|P46776|RL27A_HUMAN,wilcoxon_signed_rank,50.0,0.00021760910749435425,0.28563402040420044,0.0017463312823836224,-1.8077602732744964,2.757873366321343
sp|P46778|RL21_HUMAN,wilcoxon_signed_rank,53.0,0.0003059804439544678,0.3708706204406524,0.0022556069900729506,-1.4310121096654285,2.6467365682132256
sp|P46781|RS9_HUMAN,wilcoxon_signed_rank,40.0,6.318092346191406e-05,0.2962598494226792,0.0007359350769265184,-1.7550649763969888,3.1331604967714917
sp|P46782|RS5_HUMAN,wilcoxon_signed_rank,47.0,0.00015273690223693848,0.30322162654032625,0.0013473977827850511,-1.721555441016207,2.8705041716374966
sp|P46783|RS10_HUMAN,wilcoxon_signed_rank,43.0,9.319186210632324e-05,0.44603867845595346,0.0009576611268699042,-1.1647592753312244,3.0187881409902872
sp|P49207|RL34_HUMAN,wilcoxon_signed_rank,60.0,0.0006467849016189575,0.400202684083689,0.003964138879782091,-1.3211972517285608,2.4018511388319532
sp|P49327|FAS_HUMAN,wilcoxon_signed_rank,56.0,0.0004249662160873413,0.4352067348416366,0.002909290828820472,-1.2002272123628746,2.536212862101649
sp|P49590|SYHM_HUMAN,wilcoxon_signed_rank,44.0,0.00010570138692855835,0.44432461674569845,0.0010458988780827866,-1.17031402224724,2.9805103028622457
sp|P49760|CLK2_HUMAN,wilcoxon_signed_rank,66.0,0.0011721327900886536,0.44893405144462617,0.006222417322605585,-1.1554245667177463,2.206040865161268
sp|P50914|RL14_HUMAN,wilcoxon_signed_rank,60.0,0.0006467849016189575,0.317613020421031,0.003964138879782091,-1.6546580384776033,2.4018511388319532
sp|P51531|SMCA2_HUMAN,wilcoxon_signed_rank,16.0,1.259148120880127e-06,0.3621961303467159,5.982823596142306e-05,-1.4651569620709144,4.22309380216404
sp|P51532|SMCA4_HUMAN,wilcoxon_signed_rank,54.0,0.0003418475389480591,0.4644540888455069,0.002437632005069444,-1.1063921012256033,2.613031856646474
sp|P53985|MOT1_HUMAN,wilcoxon_signed_rank,97.0,0.014598868787288666,0.37322523953143105,0.043515510130557954,-1.4218815424715896,1.361355920895239
sp|P55060|XPO2_HUMAN,wilcoxon_signed_rank,73.0,0.0022339224815368652,0.48172326700220386,0.010104235616301053,-1.0537234878027393,1.9954965352094234
sp|P60866|RS20_HUMAN,wilcoxon_signed_rank,52.0,0.00027351081371307373,0.4099154254169691,0.0020867701033530062,-1.2866018142246503,2.680525393936353
sp|P61247|RS3A_HUMAN,wilcoxon_signed_rank,25.0,6.735324859619141e-06,0.36290689452723224,0.00017471796757466084,-1.4623286294017146,3.7576624309227213
sp|P61254|RL26_HUMAN,wilcoxon_signed_rank,59.0,0.0005833879113197327,0.3828914696013195,0.003674118879820731,-1.384992575991957,2.4348467957670388
sp|P61313|RL15_HUMAN,wilcoxon_signed_rank,58.0,0.0005255788564682007,0.47561131544027746,0.0034269740926506725,-1.072145055717632,2.4650891787511613
sp|P61326|MGN_HUMAN / sp|Q96A72|MGN2_HUMAN,wilcoxon_signed_rank,89.0,0.008224666118621826,0.36358150606337414,0.02787441575089417,-1.4596492776139391,1.554794226681787
sp|P61353|RL27_HUMAN,wilcoxon_signed_rank,65.0,0.0010645166039466858,0.3694509288312259,0.005778976450611024,-1.436545339266079,2.238149075284529
sp|P61513|RL37A_HUMAN,wilcoxon_signed_rank,53.0,0.0003059804439544678,0.440124150940374,0.0022556069900729506,-1.184017555952136,2.6467365682132256
sp|P62081|RS7_HUMAN,wilcoxon_signed_rank,29.0,1.2949109077453613e-05,0.3816711551573808,0.000261104094381092,-1.3895979360621216,3.583186317938935
sp|P62241|RS8_HUMAN,wilcoxon_signed_rank,32.0,2.0518898963928223e-05,0.3085573138562674,0.0003360757547027015,-1.696389603125882,3.4735628174282756
sp|P62244|RS15A_HUMAN,wilcoxon_signed_rank,38.0,4.830211400985718e-05,0.3552736977580272,0.0006100048556139594,-1.4929972103799785,3.2146667080089775
sp|P62249|RS16_HUMAN,wilcoxon_signed_rank,45.0,0.00011970102787017822,0.3414279509353803,0.0011375153123742284,-1.5503469257272464,2.9440427484863463
