Protein,Test_Methods,Test_Statistics,P_Value,Fold_Change,Adjusted_P_Value
sp|P06276|CHLE_HUMAN,wilcoxon_signed_rank,104.0,0.02322421222925186,0.7472083513333759,0.06233388953477611
sp|P06280|AGAL_HUMAN,wilcoxon_signed_rank,191.0,0.7965622618794441,0.9192575842251587,0.867219213874649
sp|P06310|KV230_HUMAN,wilcoxon_signed_rank,155.0,0.2842133492231369,1.138105558817335,0.4189004493003176
sp|P06312|KV401_HUMAN,wilcoxon_signed_rank,174.0,0.5221440717577934,1.1490911024953,0.6488268773603446
sp|P06331|HV434_HUMAN,wilcoxon_signed_rank,152.0,0.25451332330703735,1.1359555413823799,0.38542424693924654
sp|P06396|GELS_HUMAN / sp|GELS_HUMAN|P06396,wilcoxon_signed_rank,31.0,1.765042543411255e-05,1.4106871721897385,0.00030469205632484216
sp|P06454|PTMA_HUMAN,wilcoxon_signed_rank,106.0,0.026356667280197144,0.6578988674331845,0.06818633222515692
sp|P06576|ATPB_HUMAN,wilcoxon_signed_rank,58.0,0.0005255788564682007,1.4145747344248942,0.0034269740926506725
sp|P06681|CO2_HUMAN,wilcoxon_signed_rank,130.0,0.0992795079946518,0.6963468389258587,0.1903485253161542
sp|P06702|S10A9_HUMAN,wilcoxon_signed_rank,65.0,0.0010645166039466858,2.3178090125144526,0.005778976450611024
sp|P06703|S10A6_HUMAN,wilcoxon_signed_rank,59.0,0.0005833879113197327,1.333116400900391,0.003674118879820731
sp|P06727|APOA4_HUMAN,wilcoxon_signed_rank,68.0,0.001416526734828949,1.814586452930173,0.007155696632046449
sp|P06730|IF4E_HUMAN,wilcoxon_signed_rank,76.0,0.002901986241340637,0.7239578062009715,0.012302678420665828
sp|P06732|KCRM_HUMAN / sp|KCRM_HUMAN|P06732,wilcoxon_signed_rank,200.0,0.9553221687674522,0.8247255124384044,0.9737874018511052
sp|P06733|ENOA_HUMAN,wilcoxon_signed_rank,49.0,0.00019368529319763184,1.3856043743845095,0.001605346670216641
sp|P06737|PYGL_HUMAN,wilcoxon_signed_rank,35.0,3.17990779876709e-05,1.5240121196277931,0.000447518402530301
sp|P06744|G6PI_HUMAN,wilcoxon_signed_rank,139.0,0.15023531019687653,1.2122748192682182,0.25804554532384055
sp|P06748|NPM_HUMAN,wilcoxon_signed_rank,84.0,0.0056031495332717896,0.7681437144190215,0.0204794475324991
sp|P06753|TPM3_HUMAN,wilcoxon_signed_rank,190.0,0.7792982533574104,0.9852228306023773,0.8552143420677367
sp|P06756|ITAV_HUMAN,wilcoxon_signed_rank,75.0,0.0026621222496032715,1.2947981099591088,0.011437354230838047
sp|P06858|LIPL_HUMAN,wilcoxon_signed_rank,90.0,0.008859716355800629,1.2461918548615156,0.029464850167350808
sp|P06865|HEXA_HUMAN,wilcoxon_signed_rank,59.0,0.0005833879113197327,1.3698486118188666,0.003674118879820731
sp|P07099|HYEP_HUMAN,wilcoxon_signed_rank,193.0,0.831373319029808,0.9832598520371818,0.8895787197378036
sp|P07101|TY3H_HUMAN,wilcoxon_signed_rank,20.0,2.7641654014587402e-06,0.4156037923289064,9.612485334493111e-05
sp|P07108|ACBP_HUMAN,wilcoxon_signed_rank,98.0,0.01563260704278946,1.2835902585354466,0.0457444397550894
sp|P07148|FABPL_HUMAN,wilcoxon_signed_rank,166.0,0.4117337390780449,0.8999173095080286,0.5497802487021529
sp|P07195|LDHB_HUMAN,wilcoxon_signed_rank,74.0,0.0024397894740104675,1.2855502486068426,0.010771434853519994
sp|P07203|GPX1_HUMAN,wilcoxon_signed_rank,28.0,1.1049211025238037e-05,1.7565628163296059,0.0002335910295599883
sp|P07204|TRBM_HUMAN,wilcoxon_signed_rank,163.0,0.3740789592266083,1.0846039057939554,0.5127691874688641
sp|P07205|PGK2_HUMAN,wilcoxon_signed_rank,154.0,0.27407141774892807,0.9469913404741316,0.408341736658524
sp|P07225|PROS_HUMAN,wilcoxon_signed_rank,178.0,0.5823858305811882,1.0742720597753672,0.6976708938989321
sp|P07237|PDIA1_HUMAN,wilcoxon_signed_rank,50.0,0.00021760910749435425,1.3131433510542665,0.0017463312823836224
sp|P07305|H10_HUMAN,wilcoxon_signed_rank,113.0,0.040213532745838165,0.754003515081464,0.09446145063498647
sp|P07311|ACYP1_HUMAN,wilcoxon_signed_rank,175.0,0.5369088649749756,0.949207404025071,0.6622013988730167
sp|P07327|ADH1A_HUMAN,wilcoxon_signed_rank,176.0,0.551873967051506,0.8501172115855894,0.6744189375808957
sp|P07333|CSF1R_HUMAN,wilcoxon_signed_rank,64.0,0.0009657368063926697,1.436511632445812,0.0053890359696260725
sp|P07339|CATD_HUMAN / sp|CATD_HUMAN|P07339,wilcoxon_signed_rank,75.0,0.0026621222496032715,1.312717656448744,0.011437354230838047
sp|P07355|ANXA2_HUMAN,wilcoxon_signed_rank,173.0,0.5075842142105103,0.9197614034823617,0.6355065598737905
sp|P07357|CO8A_HUMAN,wilcoxon_signed_rank,95.0,0.012704446911811829,0.607193208288907,0.038858279623827256
sp|P07358|CO8B_HUMAN,wilcoxon_signed_rank,48.0,0.0001721307635307312,0.42236378279046444,0.001472469757903706
sp|P07359|GP1BA_HUMAN,wilcoxon_signed_rank,192.0,0.813923291862011,0.9610347809911521,0.8779541194978175
